u1 u2 u3 u4 u5 u6 u7 
0.0 0.0 0.0 0.523598775598 0.0 0.0 2.0
0.01 2.04155868979e-07 6.1245077414e-05 0.523611025004 0.00244976213227 0.0199998231966 1.99994696058
0.02 1.63301642865e-06 0.000244921256364 0.523647766084 0.00489809733378 0.0399985857903 1.99978789797
0.03 5.51010572132e-06 0.00055085150221 0.523708977442 0.00734358008457 0.0599952282907 1.99952297896
0.04 1.30565890047e-05 0.000978741176415 0.523794623435 0.00978478768304 0.0799886934295 1.99915248114
0.05 2.54900996405e-05 0.00152817866353 0.523904654216 0.0122203016471 0.099977927266 1.99867679224
0.06 4.40235734917e-05 0.00219863624536 0.524039005779 0.0146487091055 0.119961880284 1.9980964093
0.07 6.98640932825e-05 0.0029894712187 0.524197600023 0.0170686041766 0.139939508479 1.99741193753
0.08 0.000104211745335 0.00389992725207 0.524380344829 0.019478589331 0.159909774435 1.99662408899
0.09 0.000148258491044 0.00492913597601 0.524587134149 0.0218772767354 0.179871648384 1.99573368099
0.1 0.000203187055403 0.0060761188003 0.524817848113 0.0242632895746 0.199824109249 1.99474163429
0.11 0.000270169834792 0.00733978895095 0.525072353142 0.0266352633486 0.219766145672 1.99364897108
0.12 0.000350367826219 0.00871895371878 0.525350502079 0.0289918471425 0.239696757011 1.99245681278
0.13 0.000444929580055 0.0102123169106 0.52565213433 0.0313317048661 0.259614954329 1.99116637754
0.14 0.000554990178257 0.0118184814932 0.525977076021 0.0336535164615 0.279519761338 1.98977897768
0.15 0.000681670239958 0.0135359524205 0.526325140161 0.0359559790748 0.299410215337 1.98829601685
0.16 0.000826074956187 0.0153631396318 0.526696126822 0.0382378081918 0.319285368104 1.9867189871
0.17 0.000989293155396 0.0172983612109 0.527089823328 0.0404977387343 0.339144286766 1.98504946568
0.18 0.00117239640132 0.0193398466936 0.527506004451 0.0427345261146 0.358986054635 1.98328911181
0.19 0.00137643812459 0.0214857405108 0.527944432627 0.0449469472482 0.378809772013 1.98143966328
0.2 0.00160245278947 0.0237341055557 0.528404858171 0.0471338015223 0.398614556955 1.97950293286
0.21 0.00185145509671 0.0260829268621 0.528887019508 0.0492939117178 0.418399546005 1.9774808047
0.22 0.00212443922382 0.028530115379 0.529390643413 0.0514261248851 0.43816389489 1.9753752306
